numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07726;20000101070000;1380.000000;0;0.000000;mq;mq;mq;0;7;mq;7;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.000000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07456;20000101080000;2180.000000;0;0.000000;265.350000;264.000000;90;0;0;7;2;1;150;6;4;2;0.700000;mq;261.150000;mq;265.650000;1.360000;mq;mq;3104.000000;mq;mq;264.450000;1;0;0;0;4;6;2;2;3;mq;mq;mq;mq;mq;2;8;0;mq;mq;
07457;20000101080000;790.000000;0;0.000000;269.650000;mq;mq;0;7;0;0;0;mq;0;0;0;0.900000;268.650000;mq;271.650000;mq;0.180000;mq;mq;3103.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07458;20000101080000;1160.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;0.200000;mq;mq;mq;mq;0.510000;mq;mq;3101.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07484;20000101080000;1020.000000;0;0.000000;270.150000;mq;mq;0;7;0;4;mq;450;/;/;/;0.500000;270.150000;mq;270.650000;mq;0.450000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07489;20000101080000;970.000000;0;0.000000;269.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;263.150000;mq;269.150000;mq;0.500000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07498;20000101080000;1850.000000;0;0.000000;263.850000;260.880000;79;0;0;0;0;0;mq;0;0;0;0.000000;mq;257.150000;mq;268.150000;1.040000;mq;mq;3100.000000;mq;mq;266.450000;1;0;0;0;0;0;0;0;3;mq;mq;mq;mq;mq;1;8;0;mq;mq;
07499;20000101080000;1050.000000;mq;mq;mq;mq;mq;0;7;0;mq;mq;mq;/;/;/;0.100000;mq;mq;mq;mq;0.420000;mq;mq;3101.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07567;20000101080000;2100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;0.000000;mq;265.150000;mq;267.850000;0.840000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;5;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07589;20000101080000;1570.000000;0;0.000000;268.650000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.650000;mq;271.150000;0.600000;mq;mq;3100.000000;mq;mq;267.150000;0;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
